"filename", "language", "SQL", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_CodigoPostal.java", "Java", 0, 0, 0, 17, 0, 9, 9, 35
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_DetalleFactura.java", "Java", 0, 0, 0, 25, 0, 9, 13, 47
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_DetallePedido.java", "Java", 0, 0, 0, 25, 0, 9, 13, 47
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_Factura.java", "Java", 0, 0, 0, 67, 0, 9, 24, 100
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_Pedido.java", "Java", 0, 0, 0, 67, 0, 9, 26, 102
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_Poblacion.java", "Java", 0, 0, 0, 17, 0, 9, 8, 34
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_Producto.java", "Java", 0, 0, 0, 80, 0, 9, 26, 115
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_Provincia.java", "Java", 0, 0, 0, 17, 0, 9, 9, 35
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\Modelos\Modelo_Usuario.java", "Java", 0, 0, 0, 81, 0, 9, 28, 118
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\src\tesocartera\TesoCartera.java", "Java", 0, 0, 0, 12, 0, 12, 6, 30
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\tesocartera.sql", "SQL", 359, 0, 0, 0, 0, 197, 92, 648
"Total", "-", 359, 1323, 151, 23386, 2, 2143, 3330, 30694
